id,year,Department,Department_Compulsory,Department_Electuve,Other_Department_Electuve,General_Compulsory,General_Elective
53,106,精密系統設計學士學位學程,80,17,9,16,12
54,106,企業管理學系,68,21,9,16,12
55,106,合作經濟暨社會事業經營學系,73,18,9,16,12
56,106,財稅學系,79,12,9,16,12
57,106,國際經營與貿易學系,68,23,9,16,12
58,106,國際經營與貿易學系國際企業管理全英語學士班,61,24,9,16,12
59,106,會計學系,77,14,9,16,12
60,106,經濟學系,66,18,9,16,12
61,106,統計學系,70,9,9,16,12
62,106,行銷學系,67,24,9,16,12
63,106,風險管理與保險學系,73,0,9,16,12
64,106,財務金融學系,80,0,9,16,12
65,106,財務工程與精算學士學位學程,69,0,9,16,12
66,106,光電學系,65,26,9,16,12
67,106,應用數學系,55,36,9,16,12
68,106,環境工程與科學學系,64,33,9,16,12
69,106,材料科學與工程學系,55,36,9,16,12
70,106,自動控制工程學系(光機電工程學程),71,21,9,16,12
71,106,自動控制工程學系(生醫工程學程),71,21,9,16,12
72,106,通訊工程學系,70,22,9,16,12
73,106,資訊工程學系(軟體工程學程),69,15,9,16,12
74,106,資訊工程學系(電腦系統學程),71,15,9,16,12
75,106,資訊工程學系(網路與資安學程),69,12,9,16,12
76,106,資訊工程學系(資訊跨域學程),63,25,12,16,12
77,106,電子工程學系(IC設計學程),77,15,9,16,12
78,106,電子工程學系(半導體與電子元件學程),77,15,9,16,12
79,106,電機工程學系(光電工程學程),75,17,9,16,12
80,106,電機工程學系(電磁與能源工程學程),75,17,9,16,12
81,106,電機工程學系(電波工程學程),75,17,9,16,12
82,106,土木工程學系,62,35,9,16,12
83,106,水利工程與資源保育學系,65,32,9,16,12
84,106,土地管理學系,70,21,9,16,12
85,106,運輸與物流學系,75,22,9,16,12
86,106,都市計畫與空間資訊學系(空間資訊組),76,17,9,16,12
87,106,都市計畫與空間資訊學系(都市計畫組),79,14,9,16,12
88,106,中國文學系,57,39,9,16,12
89,106,外國語文學系,63,30,9,16,12
90,106,澳洲墨爾本皇家理工大學商學與創新雙學位學士學程,43,0,0,0,0
91,106,美國聖荷西州立大學商學大數據分析雙學士學位學程,31,0,0,0,0
92,106,美國普渡大學電機資訊雙學士學位學程,53,0,0,0,0
93,106,建築專業學院學士班,0,0,0,0,0
94,106,建築學士學位學程,90,29,9,16,12
95,105,工業工程與系統管理學系,74,17,9,16,12
96,105,化學工程學系,80,13,9,16,12
97,105,航太與系統工程學系,80,14,9,16,12
98,105,纖維與複合材料學系,80,17,9,16,12
99,105,機械與電腦輔助工程學系,80,17,9,16,12
100,105,精密系統設計學士學位學程,80,12,9,16,12
101,105,企業管理學系,68,21,9,16,12
102,105,合作經濟暨社會事業經營學系,72,19,9,16,12
103,105,財稅學系,78,13,9,16,12
104,105,國際經營與貿易學系,67,24,9,16,12
105,105,國際經營與貿易學系國際企業管理全英語學士班,60,24,9,16,12
106,105,會計學系,75,16,9,16,12
107,105,經濟學系,65,18,9,16,12
108,105,統計學系,69,9,9,16,12
109,105,行銷學系,66,25,9,16,12
110,105,風險管理與保險學系,72,0,9,16,12
111,105,財務金融學系,80,0,9,16,12
112,105,財務工程與精算學士學位學程,71,0,9,16,12
113,105,光電學系,65,26,9,16,12
114,105,應用數學系,54,37,9,16,12
115,105,環境工程與科學學系,63,34,9,16,12
116,105,材料科學與工程學系,54,37,9,16,12
117,105,自動控制工程學系(光機電工程學程),71,21,9,16,12
118,105,自動控制工程學系(生醫工程學程),71,21,9,16,12
119,105,通訊工程學系(無線通訊學程),70,22,9,16,12
120,105,通訊工程學系(數位通訊學程),70,22,9,16,12
121,105,資訊工程學系(軟體工程學程),69,22,9,16,12
122,105,資訊工程學系(電腦系統學程),71,20,9,16,12
123,105,資訊工程學系(網路與資安學程),69,22,9,16,12
124,105,資訊工程學系(資訊跨域學程),63,7,9,16,12
125,105,電子工程學系(ICI設計學程),77,15,9,16,12
126,105,電子工程學系(半導體與電子元件學程),77,15,9,16,12
127,105,電機工程學系(光電工程學程),75,17,9,16,12
128,105,電機工程學系(電磁與能源工程學程),75,17,9,16,12
129,105,電機工程學系(電波工程學程),75,17,9,16,12
130,105,土木工程學系,70,27,9,16,12
131,105,水利工程與資源保育學系,64,33,9,16,12
132,105,土地管理學系,70,21,9,16,12
133,105,運輸科技與管理學系,73,24,9,16,12
134,105,都市計畫與空間資訊學系(空間資訊組),79,14,9,16,12
135,105,都市計畫與空間資訊學系(都市計畫組),79,14,9,16,12
136,105,中國文學系,56,39,9,16,12
137,105,外國語文學系,62,30,9,16,12
138,105,澳洲墨爾本皇家理工大學商學與創新雙學位學士學程,40,0,0,0,0
139,105,美國聖荷西州立大學商學大數據分析雙學士學位學程,62,0,0,0,0
140,105,美國普渡大學電機資訊雙學士學位學程,57,0,0,0,0
141,105,建築專業學院學士班,0,0,0,0,0
142,105,建築學士學位學程,86,28,9,16,12
143,104,工業工程與系統管理學系,74,17,9,16,12
144,104,化學工程學系,80,13,9,16,12
145,104,航太與系統工程學系,80,14,9,16,12
146,104,纖維與複合材料學系,80,17,9,16,12
147,104,機械與電腦輔助工程學系,80,17,9,16,12
148,104,精密系統設計學士學位學程,80,12,9,16,12
149,104,企業管理學系,68,21,9,16,12
150,104,合作經濟學系,72,0,9,16,12
151,104,財稅學系,78,13,9,16,12
152,104,國際貿易學系,67,24,9,16,12
153,104,會計學系,75,16,9,16,12
154,104,經濟學系,68,18,9,16,12
155,104,統計學系,69,0,9,16,12
156,104,行銷學系,66,25,9,16,12
157,104,國際企業管理學士學位學程,57,18,9,16,12
158,104,風險管理與保險學系,71,0,9,16,12
159,104,財務金融學系,80,0,9,16,12
160,104,財務工程與精算學士學位學程,71,0,9,16,12
161,104,光電學系,67,24,9,16,12
162,104,應用數學系,54,37,9,16,12
163,104,環境工程與科學學系,63,34,9,16,12
164,104,材料科學與工程學系,54,37,9,16,12
165,104,自動控制工程學系(光機電工程學程),71,21,9,16,12
166,104,自動控制工程學系(生醫工程學程),71,21,9,16,12
167,104,通訊工程學系(無線通訊學程),70,22,9,16,12
168,104,通訊工程學系(數位通訊學程),70,22,9,16,12
169,104,資訊工程學系(軟體工程學程),69,22,9,16,12
170,104,資訊工程學系(電腦系統學程),71,20,9,16,12
171,104,資訊工程學系(網路與資安學程),69,22,9,16,12
172,104,電子工程學系(ICI設計學程),77,15,9,16,12
173,104,電子工程學系(半導體與電子元件學程),77,15,9,16,12
174,104,電機工程學系(光電工程學程),75,17,9,16,12
175,104,電機工程學系(電磁與能源工程學程),75,17,9,16,12
176,104,電機工程學系(電波工程學程),75,17,9,16,12
177,104,土木工程學系,70,27,9,16,12
178,104,水利工程與資源保育學系,64,33,9,16,12
179,104,土地管理學系,70,21,9,16,12
180,104,運輸科技與管理學系,73,24,9,16,12
181,104,建築學系,91,28,9,16,12
182,104,都市計畫與空間資訊學系(空間資訊組),79,14,9,16,12
183,104,都市計畫與空間資訊學系(都市計畫組),79,14,9,16,12
184,104,中國文學系,52,43,9,16,12
185,104,外國語文學系,62,30,9,16,12
186,104,FCU_RMIT商學與創新雙學位學士學程,68,0,0,0,0
187,103,工業工程與系統管理學系,74,17,9,16,12
188,103,化學工程學系,80,13,9,16,12
189,103,航太與系統工程學系,80,14,9,16,12
190,103,纖維與複合材料學系,80,17,9,16,12
191,103,機械與電腦輔助工程學系,80,17,9,16,12
192,103,精密系統設計學士學位學程,80,12,9,16,12
193,103,企業管理學系,68,21,9,16,12
194,103,合作經濟學系,72,0,9,16,12
195,103,財稅學系,78,13,9,16,12
196,103,國際貿易學系,67,21,9,16,12
197,103,會計學系,75,16,9,16,12
198,103,經濟學系,68,18,9,16,12
199,103,統計學系,69,0,9,16,12
200,103,行銷學系,66,24,9,16,12
201,103,風險管理與保險學系,71,0,9,16,12
202,103,財務金融學系,80,0,9,16,12
203,103,財務工程與精算學士學位學程,71,0,9,16,12
204,103,光電學系,67,24,9,16,12
205,103,應用數學系,54,37,9,16,12
206,103,環境工程與科學學系,63,34,9,16,12
207,103,材料科學與工程學系,54,37,9,16,12
208,103,自動控制工程學系(光機電工程學程),71,21,9,16,12
209,103,自動控制工程學系(生醫工程學程),71,21,9,16,12
210,103,通訊工程學系(無線通訊學程),70,22,9,16,12
211,103,通訊工程學系(數位通訊學程),70,22,9,16,12
212,103,資訊工程學系(軟體工程學程),71,21,9,16,12
213,103,資訊工程學系(電腦系統學程),71,21,9,16,12
214,103,資訊工程學系(網際網路工程學程),71,23,9,16,12
215,103,電子工程學系(ICI設計學程),77,15,9,16,12
216,103,電子工程學系(半導體與電子元件學程),77,15,9,16,12
217,103,電機工程學系(光電工程學程),75,17,9,16,12
218,103,電機工程學系(電磁與能源工程學程),75,17,9,16,12
219,103,電機工程學系(電波工程學程),75,17,9,16,12
220,103,國際電機工程學位學程,72,20,9,16,12
221,103,土木工程學系,70,27,9,16,12
222,103,水利工程與資源保育學系,64,33,9,16,12
223,103,土地管理學系,70,21,9,16,12
224,103,運輸科技與管理學系,73,24,9,16,12
225,103,建築學系,91,28,9,16,12
226,103,都市計畫與空間資訊學系(空間資訊組),79,14,9,16,12
227,103,都市計畫與空間資訊學系(都市計畫組),79,14,9,16,12
228,103,中國文學系,52,43,9,16,12
229,103,外國語文學系,62,30,9,16,12
230,103,國際企業管理學士學位學程,59,18,9,16,12
